ID,Owner,Created Date,Updated Date,Latitude (1st #),Longitude (2nd#),Restaurant Name,Cover Image,Gallery,Address,Website,Allergy Menu,Allergy Menu Rating,Instagram,Peanut,Other Menu,Category,Allergy Friendly Rating,Recommend,Category (Numerical),Shellfish,Egg,Fish,Mustard,Sesame,Tree Nuts,Soy,Wheat,Sulphites,Milk,Kosher,Halal,Vegan,Vegetarian,GlutenFree,DairyFree,Logo,Address (GMaps),GlutenFriendly,Phone Number,Email,LastUpdated,Price,City,PlaceID,Date of Allergy Menu,Messaged/Emailed (Feb 7th),Notes,Restaurants (Restaurant Name),Food Allergy Handling Protocols,MCID (AAA###),ref test
e2e1bd42-610d-4e26-8f2d-61dd08529166,09d84c7d-2c12-47a4-9ba4-b59702e43326,2020-02-27T21:30:13Z,2020-03-03T16:01:47Z,43.7131674,-79.8024523,The Food Quotient,https://scontent.fyto1-1.fna.fbcdn.net/v/t1.0-9/p960x960/88273022_616779005832435_1143267607831379968_o.jpg?_nc_cat=103&_nc_sid=9e2e56&_nc_oc=AQlOUywFsT1Dz94alCVHe6uxOmxuoS3CzlHkbUBvBJr9NMBrx3YxxnACxzmq-AHqM5Ur-j6TMtElOhYuWzyis8SC&_nc_ht=scontent.fyto1-1.fna&_nc_tp=6&oh=05ca9e10ca4f127aeb48f34cd45ac884&oe=5EBD310B,,"15 Fisherman Dr Unit 17, Brampton, ON L7A 1B7",https://thefoodquotient.ca/,,2,,2,https://thefoodquotient.ca/our-menu/,,,,,5,5,5,5,2,2,5,5,5,5,,TRUE,TRUE,TRUE,,,https://thefoodquotient.ca/wp-content/themes/zeitpress/assets/images/logo-footer.png,https://g.page/the-food-quotient?share,,(647) 232-8599,goodfood@thefoodquotient.ca,,,Brampton,ChIJ6xmlwyYUK4gR7D2u4_sdEZ8,,,,/restaurants/The-Food-Quotient,,,[]
b5324af3-97da-480a-944e-aafd2d2c84a6,09d84c7d-2c12-47a4-9ba4-b59702e43326,2020-02-27T19:10:57Z,2020-03-03T15:59:48Z,43.5857811,-79.6691474,Eat My Sweets Bakery,https://eatmysweetsbakery.ca/wp-content/uploads/2019/07/eat-my-sweets-bakery-squares-in-cold-case.jpg.webp,,"63 Queen St S Unit 8, Mississauga, ON L5M 3S9",https://eatmysweetsbakery.ca/,https://eatmysweetsbakery.ca/about-us-mississauga-peanut-tree-nut-free/,2,https://www.instagram.com/eatmysweets_bakery/,0,,"[""Bakery""]",,,,5,5,5,5,5,0,5,5,5,5,,,,,,,https://eatmysweetsbakery.ca/wp-content/uploads/2017/06/Eat-My-Sweets-Logo-Horizon-1.png,https://g.page/EatMySweetsBakeryNutFree?share,,(905) 858-3490,info@eatmysweetsbakery.ca,2020-03-01T05:00:00Z,,Mississauga,ChIJRdaUDchBK4gRB2sZUGuJHQY,,,Mar 1: contact EMS with maycontain.ca asking about 5's,/restaurants/Eat-My-Sweets-Bakery,,ESM001,[]
87bcf7f7-fa1a-4c79-921a-74420b93e414,09d84c7d-2c12-47a4-9ba4-b59702e43326,2020-02-26T21:56:53Z,2020-03-01T23:57:59Z,43.6656964,-79.4090757,Eva's Original,https://scontent.fyto1-2.fna.fbcdn.net/v/t1.0-9/13007138_1176230599068031_3478684302272204364_n.jpg?_nc_cat=109&_nc_sid=05277f&_nc_oc=AQnu0FsneXS3AhPHCoyPcZmC93Rz9r5m5nVlvrHciA3r4McWYkrViDobbNasl5GGynI1VvMyUQwx1mvL6M-nQfql&_nc_ht=scontent.fyto1-2.fna&oh=8b9d1c5e964a299cb39035dfb361d1ce&oe=5EF3F61B,,"454 Bloor St W, Toronto, ON M5S 1X8",https://www.originalchimneys.com,https://www.originalchimneys.com/our-ingredients/,1,https://www.instagram.com/ogchimneys/,2,https://www.originalchimneys.com/our-menu/,"[""Dessert""]",,,,1,2,1,1,1,2,2,2,5,2,,,TRUE,TRUE,,,https://i1.wp.com/www.originalchimneys.com/wp-content/uploads/2019/07/evasoriginalchimneycakes.png?resize=225%2C225&ssl=1,https://goo.gl/maps/gwcuqpxa7WWVXbmq7,TRUE,(416) 697-8884,info@originalchimneys.com,,,Toronto,ChIJ2Xbp_JM0K4gR5Gh2Zeim7qM,,,Mar 1: f/u with imran@maycontain.ca,/restaurants/Eva's-Original,,EVA001,[]
f00e2541-f7e9-43f7-a15c-b2ab14893d73,09d84c7d-2c12-47a4-9ba4-b59702e43326,2020-02-26T21:56:53Z,2020-03-01T16:15:13Z,43.6594712,-79.4266062,Orange Julius (Dairy Queen) (Bremner),https://scontent.fyto1-1.fna.fbcdn.net/v/t31.0-8/15069051_10154075696088994_6070044028247654139_o.jpg?_nc_cat=104&_nc_sid=dd9801&_nc_oc=AQl8yVIv9w9jHQXSvoMZf4v0fBunQydY4Jmb58qWOrHtrL5kbXpS2XT9rlotDZaFdB078QYxGhp_AjyG4adhgRYz&_nc_ht=scontent.fyto1-1.fna&oh=f043b3b7d66d400327a533f14967bc8e&oe=5F0123EA,,"351 Bremner Blvd, Toronto, ON M5V 3V4",https://www.orangejulius.com/ca-en/,http://orangejulius.com/ca-en/Company/Nutrition/Orange-Julius/?localechange=1&,3,,5,,"[""Smoothie""]",,,,0,4,0,2,1,2,2,2,0,4,,,,TRUE,,,https://www.orangejulius.com/public/images/OJ_header_logo_stack.png?width=145&height=86,https://goo.gl/maps/6auhZ27x2mguXXTV8,,(416) 342-1888,,2020-02-12T05:00:00Z,,Toronto,ChIJ2wGPCNg0K4gRfDeWhnol-t8,2017-07-01T04:00:00Z,TRUE,,/restaurants/Orange-Julius-(Dairy-Queen)-(Bremner),,,[]
e0328af5-99d6-432c-ab20-26ac9719454c,09d84c7d-2c12-47a4-9ba4-b59702e43326,2020-02-26T21:56:53Z,2020-03-01T23:13:12Z,43.7353705,-79.6786903,Denny's (Downtown),https://scontent.fyto1-2.fna.fbcdn.net/v/t1.0-9/60306453_2618223564918443_6684625737296642048_n.jpg?_nc_cat=107&_nc_sid=dd9801&_nc_oc=AQlKLMH4PhISR3eZK1ge49EfDiyVL15OeBH6As6ozr9C4G13SIMCKP0ptTO_skIke6gwOonOVHt-zia0kzl3Cj3G&_nc_ht=scontent.fyto1-2.fna&oh=2e51d2c4da956c3bad537f7286ac0d53&oe=5EFAA387,,"121 Dundas St W, Toronto, ON M5G 1C4",https://www.dennys.ca/,https://www.dennys.com/assets/files/Dennys-Allergen-Guide.pdf?v=2.1.4.408,,https://www.instagram.com/dennyscanada/?hl=en,2,,,,,,2,2,2,5,5,2,4,3,5,2,,,,,,,https://scontent.fyto1-2.fna.fbcdn.net/v/t31.0-8/p960x960/19250653_1438104792963733_3124296591063381774_o.jpg?_nc_cat=108&_nc_sid=7aed08&_nc_oc=AQngxFBxBKfdXFPi8s60CtDLiUK0oH2yr8fT6fg9Vqp8MuB_YsvU_2REanxqUYwqmHPqJJJZ8qgBR2iI7Qol6OI2&_nc_ht=scontent.fyto1-2.fna&_nc_tp=6&oh=95d36f448a375b7d6afbaad8dd242770&oe=5EEE6FE4,https://goo.gl/maps/3GFYKhKV4FfyUG9p9,TRUE,(416) 599-6161,,2020-03-01T05:00:00Z,,Toronto,ChIJX7Gdv8s0K4gRywZ3zD4I9w8,2019-11-01T04:00:00Z,TRUE,"Mar 1 2020: US allergen guide applies to Canada, asked about sesame, sulphites and mustard.",/restaurants/Denny's-(Downtown),US Allergen Guide applies to Canada.,DNY001,[]
1dd73700-b351-4759-b1e7-be384d85119b,9d75cff7-6556-4d4e-8500-50fc7a278a59,2020-02-19T20:55:38Z,2020-03-02T15:00:54Z,43.6496692,-79.4314264,Kitten and the Bear,"https://static.wixstatic.com/media/bfcc61_d5309e85b3c84ad6a7e785aa3e3b0bcf~mv2.jpg/v1/fill/w_864,h_540,al_c,lg_1,q_90/bfcc61_d5309e85b3c84ad6a7e785aa3e3b0bcf~mv2.webp","[{""slug"":""09d84c_534afd1a527d41129d590ef6b1d6accb~mv2"",""src"":""wix:image://v1/09d84c_534afd1a527d41129d590ef6b1d6accb~mv2.jpg/collage_1024x1024jpg_v1533734898jpg#originWidth=1024&originHeight=657"",""title"":"""",""type"":""image"",""settings"":{}},{""slug"":""09d84c_fca4f5fda1884858a38f2494a4ae3dfb~mv2"",""src"":""wix:image://v1/09d84c_fca4f5fda1884858a38f2494a4ae3dfb~mv2.jpg/hmp124_grandejpg_v1511733937jpg#originWidth=599&originHeight=400"",""title"":"""",""type"":""image"",""settings"":{}}]","1414 Dundas St W, Toronto, ON M6J 1Y5",https://www.kittenandthebear.com/,https://www.kittenandthebear.com/pages/our-jam,1,https://www.instagram.com/kittenandthebear/,0,,"[""Tea House""]",,,,5,5,5,5,5,0,5,5,5,5,,,,,,,https://cdn.shopify.com/s/files/1/0776/3973/files/Logo_W_grey_400x200.jpg?v=1511232851,https://goo.gl/maps/36REzEXXuwbX1Zv47,,(647) 926-9711,mail@kittenandthebear.com,2019-12-20T04:00:00Z,,Toronto,ChIJ-3HgZbE1K4gRHe-HhuI539M,,,,/restaurants/Kitten-and-the-Bear,,KAB001,[]
35a99ca0-7cde-462f-9115-d3f5d6cbdd96,9d75cff7-6556-4d4e-8500-50fc7a278a59,2020-02-19T20:55:38Z,2020-02-26T22:04:46Z,43.6541521,-79.4400625,de Floured ,https://images.squarespace-cdn.com/content/v1/5bbbf5ed7788970669bcbe08/1541970562211-OI1XLPPGNU9U45O0WC0N/ke17ZwdGBToddI8pDm48kG87Sfbgg29A4BYEDq3OXvgUqsxRUqqbr1mOJYKfIPR7LoDQ9mXPOjoJoqy81S2I8N_N4V1vUb5AoIIIbLZhVYxCRW4BPu10St3TBAUQYVKcf4OxbJOyh_wHUnyc4kQLQ6SBshRGOku7c30Y_IRDNPta8R2IY5BHMaEj1zOWoDTZ/20171109-IMG_0955.jpg?format=1500w,"[{""slug"":""09d84c_f645afff0c98427eb2054f3af4857fc7~mv2"",""src"":""wix:image://v1/09d84c_f645afff0c98427eb2054f3af4857fc7~mv2.jpg/20171108-img_0886jpg_format1500wjpg#originWidth=800&originHeight=533"",""title"":"""",""type"":""image"",""settings"":{}},{""slug"":""09d84c_2fb843dce01c44f39a5e08f8c95e5cef~mv2"",""src"":""wix:image://v1/09d84c_2fb843dce01c44f39a5e08f8c95e5cef~mv2.jpg/20171109-img_1070jpg_format1500wjpg#originWidth=1000&originHeight=667"",""title"":"""",""type"":""image"",""settings"":{}},{""slug"":""09d84c_cac89fc432384923b445221fb124da25~mv2"",""src"":""wix:image://v1/09d84c_cac89fc432384923b445221fb124da25~mv2.jpg/20141206-img_2582jpg_format2500wjpg#originWidth=1000&originHeight=667"",""title"":"""",""type"":""image"",""settings"":{}},{""slug"":""09d84c_17183fb9d3dc4c11886c60a5f7145745~mv2"",""src"":""wix:image://v1/09d84c_17183fb9d3dc4c11886c60a5f7145745~mv2.jpg/20171109-img_0951jpg_format1500wjpg#originWidth=1000&originHeight=667"",""title"":"""",""type"":""image"",""settings"":{}}]","1250 College St, Toronto, ON M6H 1C2",https://www.deflouredbakery.ca/,https://www.deflouredbakery.ca/about,2,https://www.instagram.com/defloured/?hl=en,0,,"[""Bakery""]",,,,5,2,5,5,5,0,0,5,5,2,,,TRUE,,TRUE,TRUE,https://static1.squarespace.com/static/5bbbf5ed7788970669bcbe08/t/5c02fc04b8a045e8f4424724/1543784780662/?format=1000w,https://goo.gl/maps/HSceUMBsQNU1wRe5A,,(416) 828-4169,,2019-12-20T04:00:00Z,,Toronto,ChIJrSrPSE40K4gRrUNURhah7tI,,,,/restaurants/de-Floured-,,,[]
2045fa44-a1b1-439f-a82f-e608155362b9,9d75cff7-6556-4d4e-8500-50fc7a278a59,2020-02-19T20:55:38Z,2020-02-19T20:55:38Z,43.706678,-79.38933,The Flaky Tart,http://www.flakytart.com/templates/rt_versla/custom/images/ft01.jpg,,"711 Mt Pleasant Rd, Toronto, ON M4S 2N4",http://www.flakytart.com/,http://www.flakytart.com/index.php/about,1,https://www.instagram.com/flakytart/,0,,"[""Bakery""]",,,,5,5,5,5,5,0,5,5,5,5,,,,,,,http://www.flakytart.com/templates/rt_versla/custom/images/LogoSm.png,https://goo.gl/maps/UE82AVwc2tgqT7pZ6,,(416) 484-8278,flakytart@gmail.com,2019-12-20T04:00:00Z,,Toronto,ChIJ2W8LKlI3wokRExIHraH0IIU,,,,/restaurants/The-Flaky-Tart,,,[]
58415dea-7173-433d-a725-2e4cc0ed8bf0,9d75cff7-6556-4d4e-8500-50fc7a278a59,2020-02-19T20:55:38Z,2020-02-26T22:04:47Z,43.61973,-79.502307,The Bread Essentials,https://allerguidefood.files.wordpress.com/2017/10/20171006_131403.jpg?w=1240&h=698,"[{""slug"":""09d84c_e521f75f376147aba5845738297c3d7e~mv2"",""src"":""wix:image://v1/09d84c_e521f75f376147aba5845738297c3d7e~mv2.jpg/20180809_thebreadessentialsjpg_cmdresi#originWidth=1400&originHeight=934"",""title"":"""",""type"":""image"",""settings"":{}}]","406 Royal York Rd, Etobicoke, ON M8Y 2R5",https://www.thebreadessentials.com/,https://www.thebreadessentials.com/pages/how-it-works,1,https://www.instagram.com/thebreadessentials/,0,,"[""Bakery""]",,,2,5,5,5,5,5,0,5,5,5,5,,,TRUE,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/1544/6027/t/3/assets/logo.png?146,https://goo.gl/maps/pwicjhA8nK6P68oN6,TRUE,(647) 680-3490,,2019-12-20T04:00:00Z,,Etobicoke,ChIJX5ncXyQ2K4gRtvx5G33wriw,,,,/restaurants/The-Bread-Essentials,,,[]
9c4cfa98-add9-4cda-9a76-0e4c5554e4ba,9d75cff7-6556-4d4e-8500-50fc7a278a59,2020-02-19T20:55:38Z,2020-02-26T22:04:47Z,43.6479311,-79.3778372,Pizzaiolo Gourmet Pizza,https://www.pizzaiolo.ca/assets/new_design/slide_three.jpg,"[{""slug"":""09d84c_4412069119714e4fa2ec2423e81d48ab~mv2"",""src"":""wix:image://v1/09d84c_4412069119714e4fa2ec2423e81d48ab~mv2.jpg/cateringjpg#originWidth=1437&originHeight=520"",""title"":"""",""type"":""image"",""settings"":{}}]","104 Yonge St, Toronto, ON M5C 2Y6",https://www.pizzaiolo.ca/,https://www.pizzaiolo.ca/pages/nutritional_information,1,https://www.instagram.com/pizzaiologourmetpizza/,0,,"[""Pizza""]",,,6,5,4,5,5,5,0,5,5,5,5,,,,TRUE,TRUE,TRUE,https://www.pizzaiolo.ca/assets/new_design/brand.svg,https://goo.gl/maps/QBS1HW8G6Fnbt65X9,TRUE,(416) 860-0700,,2019-12-18T05:00:00Z,,Toronto,ChIJmTaNjzLL1IkRhj8dZdI3MzQ,,,,/restaurants/Pizzaiolo-Gourmet-Pizza,,,[]
